critic_score,amount,rate
"0%",35,35%
"1%",4,4%
"2%",14,14%
"3%",22,22%
"4%",21,21%
"5%",2,2%
"6%",0,0%
"7%",1,1%
"8%",0,0%
"9%",0,0%
"10%",1,1%
